subject_code,module_number,module_title,topics
BAS3401,1,Statistical Method and Inference,"Correlation; Regression; Statistical quality control R p np and c charts; Introduction to normal distribution; Testing of hypothesis small sample tests t test chi square test; Large sample tests z test; Analysis of variance"
BAS3401,2,Numerical Method I,"Errors and their computation; General error formula; Error in a series approximation; Solution of algebraic and transcendental equations using bisection method; Regula falsi method; Newton Raphson method; Rate of convergence; Solution of system of linear algebraic equations by Gauss elimination; Gauss Jordan method; Jacobi method; Gauss Seidel method; Crout method"
BAS3401,3,Numerical Method II,"Interpolation; Finite differences; Difference tables; Newton forward and backward interpolation; Lagrange and Newton divided difference formula for unequal intervals; Numerical differentiation; Numerical integration Newton Cotes formula; Trapezoidal rule; Simpson one third rule; Simpson three eighth rule; Numerical solution to ordinary differential equations first order by Euler method; Picard method; Fourth order Runge Kutta method"
BCS3401,1,Database System Concepts Users and Architecture,"Introduction to database system with examples; Characteristics of database approach; Users of database system; Advantages and disadvantages of using a DBMS; Data models schemas and instances; DBMS architecture and data independence; Database languages and interfaces; Components of database system; Classification of database management systems"
BCS3401,2,Data Modeling and Relational Database Management System,"Data modelling using entity relationship model; Concepts and notation for ER diagram; Mapping constraints; Keys super key candidate key primary key; Entity types entity sets attributes relationships and structural constraints; Strong and weak entity types; ER diagrams naming conventions and design issues; Enhanced ER modelling subclasses super classes inheritance specialization and generalization; Constraints and characteristics of specialization and generalization; Modelling union types using categories; Relational data model relational constraints relational algebra; Relational concepts relational constraints and relational database schemas; Update operations and dealing with constraint violations; Basic relational algebra operations; Additional relational algebra operations; Examples of queries in relational algebra"
BCS3401,3,SQL and Database Design Theory and Methodology,"Structured query language relational database standard; Data definition constraints and schema changes in SQL; Types of SQL commands; SQL operators and their procedure; Insert delete update statements in SQL; Queries and sub queries; Aggregate functions; Joins unions intersection minus; Views and virtual tables in SQL; Cursors triggers and PL SQL; Functional dependencies and normalization for relational databases; Informal design guidelines for relation schemas; Normal forms based on primary keys; Second normal form; Third normal form; Boyce Codd normal form; Multivalued dependencies and fourth normal form; Join dependencies and fifth normal form"
BCS3401,4,Transaction Processing Concurrency Control and Database Recovery,"Transaction processing concepts; Transaction states and state diagram; Desirable properties of transactions; Schedules and recoverability; Serializability of schedules; Locking techniques for concurrency control; Concurrency control based on timestamp ordering; Multiversion concurrency control techniques; Validation and optimistic concurrency control techniques; Granularity of data items and multiple granularity locking; Database recovery concepts; Recovery techniques based on deferred update; Recovery techniques based on immediate update; Shadow paging; ARIES recovery algorithm; Database backup and recovery from catastrophic failures; Client server database environment; Internet database environment; Data warehousing introduction"
BCS3402,1,Introduction to Operating System and Process Concept,"Operating system and functions; Classification of operating systems; Operating system structure; Operating system services; System calls and system programs; Process concept; Process state; Process control block; Context switching; Operation on processes; Threads and their management; Benefits of multithreading; Types of threads; Threading issues; CPU scheduling criteria; Scheduling algorithms; Concurrent processes; Inter process communication models and schemes"
BCS3402,2,Process Synchronization and Deadlock,"Process synchronization; Producer consumer problem; Critical section problem; Peterson's solution; Synchronization hardware; Semaphores; Classical problems of synchronization; Deadlock characterization; Deadlock prevention; Deadlock avoidance; Resource allocation graph algorithm; Banker's algorithm; Deadlock detection; Recovery from deadlock"
BCS3402,3,Memory Management,"Memory management basic bare machine; Resident monitor; Multiprogramming with fixed partition; Multiprogramming with variable partitions; Paging; Segmentation; Paged segmentation; Virtual memory concepts; Demand paging; Performance of demand paging; Page replacement algorithms; Thrashing"
